x,y,aspect,cost,dem,slope,tpi,tri
-75.4143498953762,-11.6838022335756,1.86535966396332,1.79087030887604,4362,0.351489394903183,0.625,21.625
-75.4435707547775,-11.732730184201,3.73619437217712,0.104742810130119,3453,0.0240936912596226,-0.75,1.5
-75.3932836944124,-11.7130230929769,2.40622186660767,1.7494603395462,4066,0.526327550411224,1.375,32.375
-75.3606650606622,-11.6933160017528,3.18058133125305,2.76130747795105,4488,0.17143939435482,-6.25,12.25
-75.3606650606622,-11.6688520264401,4.7454662322998,3.00616192817688,4353,0.246395573019981,0.5,14.75
-75.4000792431104,-11.6987524407111,4.59224033355713,1.71045506000519,4203,0.321536868810654,-5.25,19.25
-75.3572672863132,-11.6640951423515,3.68821454048157,3.13523030281067,4419,0.0292008984833956,-11.625,11.625
-75.3783334872769,-11.6640951423515,4.76516580581665,2.70558071136475,4381,0.186997726559639,0.25,10.5
-75.3572672863132,-11.7035093247997,5.83938455581665,2.76188325881958,4198,0.615619897842407,-3.875,41.375
-75.4401729804285,-11.7374870682896,4.34317493438721,0.176001414656639,3557,0.369430661201477,4,23
-75.4293001025117,-11.7035093247997,,1.12609732151031,4042,,,
-75.3572672863132,-11.6933160017528,1.89779758453369,2.84363317489624,4471,0.419020146131516,5.875,25.625
-75.4075543466782,-11.6987524407111,3.07625102996826,1.52827680110931,4320,0.102993875741959,6,8.75
-75.3389193048287,-11.6736089105286,4.31858730316162,3.4800591468811,4448,0.282697677612305,-4.5,17
-75.3572672863132,-11.6688520264401,4.94779634475708,3.09039068222046,4455,0.310567945241928,1.875,18.875
-75.3858085908447,-11.7082662088883,2.26268219947815,1.99171090126038,4099,0.480692535638809,4.375,28.625
-75.4252227732929,-11.7035093247997,4.01215505599976,1.17517566680908,3978,0.476608008146286,-4.125,28.875
-75.3531899570944,-11.6987524407111,5.44378089904785,2.90741753578186,4256,0.506994247436523,-6.875,30.875
-75.3749357129279,-11.6688520264401,5.36456680297852,2.65802836418152,4538,0.275156557559967,-0.125,15.875
-75.4034770174594,-11.6688520264401,1.01848304271698,2.27054381370544,4390,0.218408539891243,-4.875,12.625
-75.418427224595,-11.7177799770655,2.85779762268066,1.01577007770538,3886,0.383737862110138,2.875,24.125
-75.4578414070432,-11.7422439523782,2.68725752830505,0.500889360904694,3410,0.0996416211128235,-2.25,5.75
-75.4435707547775,-11.7374870682896,4.5177206993103,0.0830699801445007,3445,0.0772432535886765,-1.625,4.375
-75.4000792431104,-11.7279733001124,0.491443872451782,1.38905358314514,3876,0.472672343254089,8.25,29.75
-75.4293001025117,-11.7374870682896,5.42264556884766,0.496420949697495,3843,0.304079979658127,5.5,18.25
-75.3966814687614,-11.6933160017528,3.37248373031616,1.85340332984924,4369,0.252532362937927,-3.625,15.125
-75.4360956512097,-11.7279733001124,3.18985724449158,0.376360982656479,3527,0.367268532514572,-5.5,24.25
-75.4000792431104,-11.6640951423515,1.5455174446106,2.42372679710388,4396,0.0657195448875427,-0.25,3.75
-75.4578414070432,-11.7374870682896,2.7128529548645,0.426484346389771,3560,0.534977376461029,-12.625,35.875
-75.3749357129279,-11.7177799770655,5.96110725402832,2.16528367996216,4217,0.493884861469269,2.25,31.5
-75.4000792431104,-11.6491449352159,2.51205468177795,2.7851095199585,4520,0.145095705986023,3.625,8.875
-75.3783334872769,-11.6885591176642,4.36444807052612,2.36304306983948,4146,0.582435429096222,-9.25,39
-75.3783334872769,-11.6688520264401,5.00000715255737,2.59154605865479,4432,0.399524718523026,4.5,24.75
-75.46871428496,-11.7476803913366,0,0.902385890483856,3387,0.00332705350592732,0,0.25
-75.4000792431104,-11.6838022335756,4.06056261062622,1.96255099773407,4415,0.23937726020813,-1.25,13.5
-75.3858085908447,-11.732730184201,4.26116418838501,1.73270153999329,4168,0.110182531177998,-0.25,6.5
-75.4218249989439,-11.7232164160239,3.43587779998779,0.858277857303619,3731,0.411405771970749,1.125,25.375
-75.4252227732929,-11.7130230929769,6.24213123321533,0.92181658744812,3781,0.490821927785873,11.625,33.125
-75.4503663034754,-11.7279733001124,2.71518778800964,0.305513918399811,3608,0.289458692073822,-3.375,17.625
-75.3932836944124,-11.6987524407111,1.71332025527954,1.88159549236298,4337,0.348260492086411,1.375,20.875
-75.3674606093602,-11.6640951423515,1.78497874736786,2.8815712928772,4507,0.439030021429062,0.375,27.125
-75.418427224595,-11.732730184201,,0.817403018474579,3854,,,
-75.4143498953762,-11.7082662088883,5.11217498779297,1.23665237426758,4096,0.473898857831955,5.625,30.125
-75.3892063651937,-11.7232164160239,5.04487657546997,1.7439581155777,3916,0.338162571191788,-12.5,26.5
-75.4075543466782,-11.7082662088883,2.45867729187012,1.41471576690674,4018,0.56098735332489,-1.5,35.25
-75.4109521210272,-11.7279733001124,5.81835985183716,1.08879137039185,3696,0.319878995418549,10.625,20.625
-75.3892063651937,-11.6838022335756,0.703287303447723,2.13814353942871,4303,0.260062426328659,-2.625,14.625
-75.4469685291264,-11.7374870682896,2.34905648231506,0.0920745432376862,3434,0.0118472697213292,-0.5,1
-75.4000792431104,-11.732730184201,5.2465386390686,1.34770512580872,3963,0.155574232339859,-3,10
-75.4218249989439,-11.732730184201,5.29740571975708,0.722287058830261,3818,0.253499925136566,2.125,14.375
-75.4143498953762,-11.7177799770655,2.55408000946045,1.13046944141388,3861,0.376824826002121,1,22.25
-75.4293001025117,-11.732730184201,6.15831518173218,0.511159002780914,3610,0.464686661958694,-2,29.5
-75.4075543466782,-11.7035093247997,3.00717425346375,1.46418559551239,4260,0.149946793913841,7.5,10.75
-75.4000792431104,-11.7232164160239,5.26385116577148,1.45835912227631,3680,0.227759435772896,-12.375,16.625
-75.46871428496,-11.7524372754251,,0.98748791217804,3384,,,
-75.4544436326942,-11.7374870682896,2.5579047203064,0.326260626316071,3515,0.56927502155304,3.375,36.625
-75.4435707547775,-11.7232164160239,,0.394684910774231,3818,,,
-75.4143498953762,-11.6640951423515,,2.27192401885986,4519,,,
-75.4143498953762,-11.6933160017528,2.87656664848328,1.56143200397491,4139,0.121778190135956,-16,19
-75.4109521210272,-11.6736089105286,1.80810081958771,2.07648754119873,4512,0.0917343348264694,-1.125,5.125
